Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,tag
2025-03-31 20:00:00,2025-07-31 16:00:00,121 days 20:00:00,0.0,10000.0,10000.0,,0.0,46.31800564620317,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,ButterflyStrategy_9p,XRPUSDT_4h
2025-03-31 20:00:00,2025-07-31 16:00:00,121 days 20:00:00,0.0,10000.0,10000.0,,0.0,46.31800564620317,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,ButterflyStrategy_26p,XRPUSDT_4h
2025-04-01,2025-07-31,121 days,0.0,10000.0,10000.0,,0.0,41.31949315004442,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,TriplePatternStrategy_9p,XRPUSDT_1d
2025-04-01,2025-07-31,121 days,0.0,10000.0,10000.0,,0.0,41.31949315004442,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,TriplePatternStrategy_26p,XRPUSDT_1d
2025-04-01,2025-07-31,121 days,0.0,10000.0,10000.0,,0.0,41.31949315004442,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,ButterflyStrategy_9p,XRPUSDT_1d
2025-04-01,2025-07-31,121 days,0.0,10000.0,10000.0,,0.0,41.31949315004442,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,ButterflyStrategy_26p,XRPUSDT_1d
2025-03-31 17:00:00,2025-07-31 16:00:00,121 days 23:00:00,36.42943305186972,7539.8916264000045,10135.456320000001,2869.7887736,-24.601083735999953,34.35424719992069,-62.528787936965166,7.500669684658598,-57.04881354610517,-8.336427354594438,-4.079803094822504,-2.2420323989259487,-23.419991426360763,-0.03437980470845299,-27.889332895867046,-13.97086873511688,120 days 11:00:00,60 days 07:00:00,88,32.95454545454545,4.6116143748728,-2.4057992078162127,-0.3350873452707792,0 days 10:00:00,0 days 10:00:00,0.47444330443213084,-0.32803428334145557,-2.5848575713668,-0.38271452077084606,TriplePatternStrategy_9p,BNBUSDT_1h
2025-03-31 17:00:00,2025-07-31 16:00:00,121 days 23:00:00,56.011258544431044,9415.553027399994,10135.456320000001,2304.0224726,-5.844469726000061,34.35424719992069,-18.888368705906455,21.521260861528454,-16.49256464144826,-0.8776608781166454,-1.143107354146553,-0.9249246099092132,-5.257476265521604,-0.01708648881352324,-20.42152247171849,-10.236963523042602,120 days 11:00:00,60 days 07:00:00,67,38.80597014925373,4.608562041149284,-2.4057992078162127,-0.09809278746240047,1 days 04:00:00,0 days 21:00:00,0.8816431756610246,-0.08339175213898203,-0.47714695347795855,-0.0643219249881899,TriplePatternStrategy_26p,BNBUSDT_1h
2025-03-31 17:00:00,2025-07-31 16:00:00,121 days 23:00:00,0.8845999195818254,10061.279100000002,10084.75656,77.85090000000001,0.6127910000000156,34.35424719992069,2.1463885321803877,1.2207612777719965,1.8451973176415004,1.758237725313296,47.13617772071646,2.056128443373075,0.6166727855468824,-0.00011299288627333993,-1.0438980789834518,-1.0438980789834518,106 days 13:00:00,106 days 13:00:00,2,50.0,0.6579085636865301,-0.02477302654375008,0.315987037600185,0 days 10:00:00,0 days 10:00:00,26.557456051025465,0.31656776857138996,0.9265000131538681,0.48092395890363754,ButterflyStrategy_9p,BNBUSDT_1h
2025-03-31 17:00:00,2025-07-31 16:00:00,121 days 23:00:00,2.251708886208283,10004.359540000001,10168.368820000002,78.15046000000001,0.043595400000012885,34.35424719992069,0.15162772913368538,3.724777737528387,0.1305301057907604,0.040707859587428556,0.05473024365968576,0.09400728258610554,-0.14597002470298842,0.005517961828703349,-1.6129359871114524,-0.9743936174882806,100 days 23:00:00,21 days 07:00:00,2,50.0,0.4490158708157317,-0.4099334137435278,0.018619162126376487,1 days 03:00:00,1 days 03:00:00,1.0953385495349144,0.019541228536101938,0.05205245626358891,0.04947705407053132,ButterflyStrategy_26p,BNBUSDT_1h
